Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1853.0961810059994
FDW14,OUT017,1576.3461810059994
NCN55,OUT010,1886.5961810059994
FDQ58,OUT017,2584.3461810059994
FDY38,OUT027,5168.471181006
FDH56,OUT046,1925.3461810059994
FDL48,OUT018,659.3461810059994
FDC48,OUT027,2776.4711810059994
FDN33,OUT045,1499.3461810059994
FDA36,OUT017,3080.3461810059994
FDT44,OUT017,1992.3461810059994
FDQ56,OUT045,1299.3461810059994
NCC54,OUT019,1826.3461810059994
FDU11,OUT049,2053.0961810059994
DRL59,OUT013,890.3461810059994
FDM24,OUT049,2555.0961810059994
FDI57,OUT045,3071.3461810059994
DRC12,OUT018,2805.3461810059994
NCM42,OUT027,3187.4711810059994
FDA46,OUT010,1142.5961810059994
FDA31,OUT013,2790.3461810059994
NCJ31,OUT035,3855.3461810059994
FDG52,OUT046,805.3461810059994
NCL19,OUT019,338.34618100599937
FDS10,OUT035,3001.3461810059994
FDX22,OUT010,1474.5961810059994
NCF19,OUT035,911.3461810059994
NCE06,OUT046,2525.3461810059994
DRC27,OUT046,3841.3461810059994
FDE21,OUT035,2009.3461810059994
NCR42,OUT019,-1377.6538189940006
FDX51,OUT018,2915.3461810059994
NCR06,OUT018,481.34618100599937
FDU31,OUT027,4936.471181006
FDU59,OUT017,2704.3461810059994
FDR03,OUT027,4744.471181006
FDS49,OUT027,2744.4711810059994
FDD48,OUT010,-53.40381899400063
NCF18,OUT017,3116.3461810059994
NCD43,OUT027,3091.4711810059994
NCD54,OUT018,2045.3461810059994
FDY19,OUT010,-13.40381899400063
NCY54,OUT017,2808.3461810059994
NCL19,OUT018,2069.3461810059994
FDP23,OUT010,1542.5961810059994
FDC26,OUT013,1814.3461810059994
FDR14,OUT010,-1017.4038189940006
NCS41,OUT035,3007.3461810059994
FDF41,OUT035,4021.3461810059994
FDU34,OUT046,1997.3461810059994
DRH11,OUT046,929.3461810059994
FDM03,OUT013,1726.3461810059994
FDS31,OUT017,3024.3461810059994
FDJ20,OUT017,2104.3461810059994
FDV44,OUT027,4480.471181006
FDG02,OUT049,3105.0961810059994
FDA09,OUT013,2950.3461810059994
FDT04,OUT013,674.3461810059994
FDL58,OUT019,2258.3461810059994
FDE52,OUT045,1439.3461810059994
FDW12,OUT035,2489.3461810059994
FDL51,OUT017,3552.3461810059994
